converted_date,.geo,LST_AVE
2022-10-20,"{""type"":""MultiPoint"",""coordinates"":[]}",14976
2022-11-19,"{""type"":""MultiPoint"",""coordinates"":[]}",14977
2022-02-05,"{""type"":""MultiPoint"",""coordinates"":[]}",14979
2023-12-26,"{""type"":""MultiPoint"",""coordinates"":[]}",14980
2022-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}",14981
2022-01-29,"{""type"":""MultiPoint"",""coordinates"":[]}",14982
2022-03-04,"{""type"":""MultiPoint"",""coordinates"":[]}",14983
2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14984
2023-12-02,"{""type"":""MultiPoint"",""coordinates"":[]}",14987
2022-03-15,"{""type"":""MultiPoint"",""coordinates"":[]}",14988
2022-05-15,"{""type"":""MultiPoint"",""coordinates"":[]}",14989
2023-01-08,"{""type"":""MultiPoint"",""coordinates"":[]}",14990
2022-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14991
2022-01-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14992
2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}",14993
2024-09-29,"{""type"":""MultiPoint"",""coordinates"":[]}",14994
2022-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14995
2022-08-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14996
2022-10-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14997
2023-09-18,"{""type"":""MultiPoint"",""coordinates"":[]}",14998
2022-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}",14999
2023-11-13,"{""type"":""MultiPoint"",""coordinates"":[]}",15000
2023-01-04,"{""type"":""MultiPoint"",""coordinates"":[]}",15001
2021-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}",15002
2023-12-18,"{""type"":""MultiPoint"",""coordinates"":[]}",15003
